
time (s)          v("VIN" ?resul    v("VOUT" ?resu    getData("VDD:p
 1.800000e-04      2.500904e+00      8.727547e-01     -2.583243e-04     
 1.820000e-04      2.500910e+00      8.727525e-01     -2.583244e-04     
 1.840000e-04      2.500915e+00      8.727502e-01     -2.583245e-04     
 1.860000e-04      2.500920e+00      8.727481e-01     -2.583247e-04     
 1.880000e-04      2.500925e+00      8.727460e-01     -2.583248e-04     
 1.900000e-04      2.500929e+00      8.727439e-01     -2.583249e-04     
 1.920000e-04      2.500934e+00      8.727420e-01     -2.583251e-04     
 1.940000e-04      2.500938e+00      8.727401e-01     -2.583252e-04     
 1.960000e-04      2.500942e+00      8.727382e-01     -2.583253e-04     
 1.980000e-04      2.500947e+00      8.727365e-01     -2.583254e-04     
 2.000000e-04      2.500951e+00      8.727348e-01     -2.583255e-04     
 2.020000e-04      2.500954e+00      8.727331e-01     -2.583256e-04     
 2.040000e-04      2.500958e+00      8.727316e-01     -2.583257e-04     
 2.060000e-04      2.500962e+00      8.727301e-01     -2.583258e-04     
 2.080000e-04      2.500965e+00      8.727286e-01     -2.583259e-04     
 2.100000e-04      2.500968e+00      8.727273e-01     -2.583260e-04     
 2.120000e-04      2.500971e+00      8.727260e-01     -2.583261e-04     
 2.140000e-04      2.500974e+00      8.727247e-01     -2.583261e-04     
 2.160000e-04      2.500977e+00      8.727236e-01     -2.583262e-04     
 2.180000e-04      2.500979e+00      8.727225e-01     -2.583263e-04     
 2.200000e-04      2.500982e+00      8.727214e-01     -2.583263e-04     
 2.220000e-04      2.500984e+00      8.727205e-01     -2.583264e-04     
 2.240000e-04      2.500986e+00      8.727196e-01     -2.583265e-04     
 2.260000e-04      2.500988e+00      8.727188e-01     -2.583265e-04     
 2.280000e-04      2.500990e+00      8.727180e-01     -2.583266e-04     
 2.300000e-04      2.500992e+00      8.727173e-01     -2.583266e-04     
 2.320000e-04      2.500993e+00      8.727167e-01     -2.583266e-04     
 2.340000e-04      2.500994e+00      8.727162e-01     -2.583267e-04     
 2.360000e-04      2.500996e+00      8.727157e-01     -2.583267e-04     
 2.380000e-04      2.500997e+00      8.727153e-01     -2.583267e-04     
 2.400000e-04      2.500998e+00      8.727149e-01     -2.583268e-04     
 2.420000e-04      2.500998e+00      8.727147e-01     -2.583268e-04     
 2.440000e-04      2.500999e+00      8.727145e-01     -2.583268e-04     
 2.460000e-04      2.500999e+00      8.727143e-01     -2.583268e-04     
 2.480000e-04      2.500999e+00      8.727143e-01     -2.583268e-04     
 2.500000e-04      2.501000e+00      8.727143e-01     -2.583268e-04     
 2.520000e-04      2.500999e+00      8.727144e-01     -2.583268e-04     
 2.540000e-04      2.500999e+00      8.727145e-01     -2.583268e-04     
 2.560000e-04      2.500999e+00      8.727147e-01     -2.583268e-04     
 2.580000e-04      2.500998e+00      8.727150e-01     -2.583268e-04     
 2.600000e-04      2.500998e+00      8.727154e-01     -2.583267e-04     
 2.620000e-04      2.500997e+00      8.727158e-01     -2.583267e-04     
 2.640000e-04      2.500996e+00      8.727163e-01     -2.583267e-04     
 2.660000e-04      2.500994e+00      8.727168e-01     -2.583266e-04     
 2.680000e-04      2.500993e+00      8.727175e-01     -2.583266e-04     
 2.700000e-04      2.500992e+00      8.727182e-01     -2.583266e-04     
 2.720000e-04      2.500990e+00      8.727189e-01     -2.583265e-04     
 2.740000e-04      2.500988e+00      8.727198e-01     -2.583265e-04     
 2.760000e-04      2.500986e+00      8.727207e-01     -2.583264e-04     
 2.780000e-04      2.500984e+00      8.727216e-01     -2.583263e-04     
 2.800000e-04      2.500982e+00      8.727227e-01     -2.583263e-04     
 2.820000e-04      2.500979e+00      8.727238e-01     -2.583262e-04     
 2.840000e-04      2.500977e+00      8.727250e-01     -2.583261e-04     
 2.860000e-04      2.500974e+00      8.727262e-01     -2.583260e-04     
 2.880000e-04      2.500971e+00      8.727275e-01     -2.583260e-04     
 2.900000e-04      2.500968e+00      8.727289e-01     -2.583259e-04     
 2.920000e-04      2.500965e+00      8.727304e-01     -2.583258e-04     
 2.940000e-04      2.500962e+00      8.727319e-01     -2.583257e-04     
 2.960000e-04      2.500958e+00      8.727334e-01     -2.583256e-04     
 2.980000e-04      2.500954e+00      8.727351e-01     -2.583255e-04     
 3.000000e-04      2.500951e+00      8.727368e-01     -2.583254e-04     
 3.020000e-04      2.500947e+00      8.727386e-01     -2.583253e-04     
 3.040000e-04      2.500942e+00      8.727404e-01     -2.583252e-04     
 3.060000e-04      2.500938e+00      8.727423e-01     -2.583250e-04     
 3.080000e-04      2.500934e+00      8.727443e-01     -2.583249e-04     
 3.100000e-04      2.500929e+00      8.727464e-01     -2.583248e-04     
 3.120000e-04      2.500925e+00      8.727485e-01     -2.583247e-04     
 3.140000e-04      2.500920e+00      8.727506e-01     -2.583245e-04     
 3.160000e-04      2.500915e+00      8.727529e-01     -2.583244e-04     
 3.180000e-04      2.500910e+00      8.727552e-01     -2.583242e-04     
 3.200000e-04      2.500904e+00      8.727575e-01     -2.583241e-04     
 3.220000e-04      2.500899e+00      8.727600e-01     -2.583239e-04     
 3.240000e-04      2.500893e+00      8.727625e-01     -2.583238e-04     
 3.260000e-04      2.500888e+00      8.727650e-01     -2.583236e-04     
 3.280000e-04      2.500882e+00      8.727676e-01     -2.583235e-04     
 3.300000e-04      2.500876e+00      8.727703e-01     -2.583233e-04     
 3.320000e-04      2.500870e+00      8.727730e-01     -2.583231e-04     
 3.340000e-04      2.500863e+00      8.727758e-01     -2.583229e-04     
 3.360000e-04      2.500857e+00      8.727787e-01     -2.583228e-04     
 3.380000e-04      2.500850e+00      8.727816e-01     -2.583226e-04     
 3.400000e-04      2.500844e+00      8.727846e-01     -2.583224e-04     
 3.420000e-04      2.500837e+00      8.727876e-01     -2.583222e-04     
 3.440000e-04      2.500830e+00      8.727907e-01     -2.583220e-04     
 3.460000e-04      2.500823e+00      8.727938e-01     -2.583218e-04     
 3.480000e-04      2.500816e+00      8.727970e-01     -2.583216e-04     
 3.500000e-04      2.500809e+00      8.728003e-01     -2.583214e-04     
 3.520000e-04      2.500801e+00      8.728036e-01     -2.583212e-04     
 3.540000e-04      2.500793e+00      8.728070e-01     -2.583210e-04     
 3.560000e-04      2.500786e+00      8.728104e-01     -2.583208e-04     
 3.580000e-04      2.500778e+00      8.728139e-01     -2.583206e-04     
 3.600000e-04      2.500770e+00      8.728175e-01     -2.583203e-04     
 3.620000e-04      2.500762e+00      8.728211e-01     -2.583201e-04     
 3.640000e-04      2.500754e+00      8.728247e-01     -2.583199e-04     
 3.660000e-04      2.500745e+00      8.728284e-01     -2.583197e-04     
 3.680000e-04      2.500737e+00      8.728322e-01     -2.583194e-04     
 3.700000e-04      2.500728e+00      8.728360e-01     -2.583192e-04     
 3.720000e-04      2.500720e+00      8.728399e-01     -2.583189e-04     
 3.740000e-04      2.500711e+00      8.728438e-01     -2.583187e-04     
 3.760000e-04      2.500702e+00      8.728477e-01     -2.583184e-04     
 3.780000e-04      2.500693e+00      8.728517e-01     -2.583182e-04     
 3.800000e-04      2.500684e+00      8.728558e-01     -2.583179e-04     
 3.820000e-04      2.500675e+00      8.728599e-01     -2.583177e-04     
 3.840000e-04      2.500666e+00      8.728641e-01     -2.583174e-04     
 3.860000e-04      2.500656e+00      8.728683e-01     -2.583172e-04     
 3.880000e-04      2.500647e+00      8.728725e-01     -2.583169e-04     
 3.900000e-04      2.500637e+00      8.728768e-01     -2.583166e-04     
 3.920000e-04      2.500627e+00      8.728812e-01     -2.583164e-04     
 3.940000e-04      2.500617e+00      8.728855e-01     -2.583161e-04     
 3.960000e-04      2.500607e+00      8.728900e-01     -2.583158e-04     
 3.980000e-04      2.500597e+00      8.728945e-01     -2.583155e-04     
 4.000000e-04      2.500587e+00      8.728990e-01     -2.583152e-04     
 4.020000e-04      2.500577e+00      8.729035e-01     -2.583150e-04     
 4.040000e-04      2.500567e+00      8.729081e-01     -2.583147e-04     
 4.060000e-04      2.500556e+00      8.729128e-01     -2.583144e-04     
 4.080000e-04      2.500546e+00      8.729174e-01     -2.583141e-04     
 4.100000e-04      2.500535e+00      8.729222e-01     -2.583138e-04     
 4.120000e-04      2.500525e+00      8.729269e-01     -2.583135e-04     
 4.140000e-04      2.500514e+00      8.729317e-01     -2.583132e-04     
 4.160000e-04      2.500503e+00      8.729365e-01     -2.583129e-04     
 4.180000e-04      2.500492e+00      8.729414e-01     -2.583126e-04     
 4.200000e-04      2.500481e+00      8.729463e-01     -2.583123e-04     
 4.220000e-04      2.500470e+00      8.729513e-01     -2.583120e-04     
 4.240000e-04      2.500459e+00      8.729562e-01     -2.583117e-04     
