
freq (Hz)         v("VIN" ?resul    v("VOUT" ?resu

 1.000000e-01      1.000000e-03      5.155507e-06     
 1.047128e-01      1.000000e-03      5.371014e-06     
 1.096478e-01      1.000000e-03      5.593450e-06     
 1.148153e-01      1.000000e-03      5.822835e-06     
 1.202264e-01      1.000000e-03      6.059176e-06     
 1.258925e-01      1.000000e-03      6.302471e-06     
 1.318256e-01      1.000000e-03      6.552707e-06     
 1.380384e-01      1.000000e-03      6.809864e-06     
 1.445439e-01      1.000000e-03      7.073923e-06     
 1.513561e-01      1.000000e-03      7.344866e-06     
 1.584893e-01      1.000000e-03      7.622686e-06     
 1.659586e-01      1.000000e-03      7.907392e-06     
 1.737800e-01      1.000000e-03      8.199014e-06     
 1.819700e-01      1.000000e-03      8.497615e-06     
 1.905460e-01      1.000000e-03      8.803296e-06     
 1.995262e-01      1.000000e-03      9.116208e-06     
 2.089296e-01      1.000000e-03      9.436557e-06     
 2.187761e-01      1.000000e-03      9.764614e-06     
 2.290867e-01      1.000000e-03      1.010072e-05     
 2.398832e-01      1.000000e-03      1.044531e-05     
 2.511886e-01      1.000000e-03      1.079889e-05     
 2.630267e-01      1.000000e-03      1.116207e-05     
 2.754228e-01      1.000000e-03      1.153554e-05     
 2.884031e-01      1.000000e-03      1.192011e-05     
 3.019951e-01      1.000000e-03      1.231667e-05     
 3.162277e-01      1.000000e-03      1.272621e-05     
 3.311311e-01      1.000000e-03      1.314984e-05     
 3.467368e-01      1.000000e-03      1.358875e-05     
 3.630780e-01      1.000000e-03      1.404422e-05     
 3.801893e-01      1.000000e-03      1.451762e-05     
 3.981071e-01      1.000000e-03      1.501041e-05     
 4.168693e-01      1.000000e-03      1.552411e-05     
 4.365158e-01      1.000000e-03      1.606035e-05     
 4.570881e-01      1.000000e-03      1.662079e-05     
 4.786300e-01      1.000000e-03      1.720718e-05     
 5.011872e-01      1.000000e-03      1.782131e-05     
 5.248074e-01      1.000000e-03      1.846505e-05     
 5.495408e-01      1.000000e-03      1.914029e-05     
 5.754399e-01      1.000000e-03      1.984901e-05     
 6.025595e-01      1.000000e-03      2.059323e-05     
 6.309573e-01      1.000000e-03      2.137499e-05     
 6.606934e-01      1.000000e-03      2.219643e-05     
 6.918309e-01      1.000000e-03      2.305972e-05     
 7.244359e-01      1.000000e-03      2.396707e-05     
 7.585775e-01      1.000000e-03      2.492078e-05     
 7.943282e-01      1.000000e-03      2.592320e-05     
 8.317637e-01      1.000000e-03      2.697673e-05     
 8.709635e-01      1.000000e-03      2.808386e-05     
 9.120108e-01      1.000000e-03      2.924714e-05     
 9.549925e-01      1.000000e-03      3.046921e-05     
 1.000000e+00      1.000000e-03      3.175280e-05     
 1.047128e+00      1.000000e-03      3.310069e-05     
 1.096478e+00      1.000000e-03      3.451581e-05     
 1.148153e+00      1.000000e-03      3.600114e-05     
 1.202264e+00      1.000000e-03      3.755978e-05     
 1.258925e+00      1.000000e-03      3.919495e-05     
 1.318256e+00      1.000000e-03      4.090995e-05     
 1.380384e+00      1.000000e-03      4.270822e-05     
 1.445439e+00      1.000000e-03      4.459329e-05     
 1.513561e+00      1.000000e-03      4.656884e-05     
 1.584893e+00      1.000000e-03      4.863864e-05     
 1.659586e+00      1.000000e-03      5.080658e-05     
 1.737800e+00      1.000000e-03      5.307670e-05     
 1.819700e+00      1.000000e-03      5.545311e-05     
 1.905460e+00      1.000000e-03      5.794006e-05     
 1.995262e+00      1.000000e-03      6.054191e-05     
 2.089296e+00      1.000000e-03      6.326311e-05     
 2.187761e+00      1.000000e-03      6.610820e-05     
 2.290867e+00      1.000000e-03      6.908181e-05     
 2.398832e+00      1.000000e-03      7.218864e-05     
 2.511886e+00      1.000000e-03      7.543343e-05     
 2.630267e+00      1.000000e-03      7.882095e-05     
 2.754228e+00      1.000000e-03      8.235600e-05     
 2.884031e+00      1.000000e-03      8.604333e-05     
 3.019951e+00      1.000000e-03      8.988766e-05     
 3.162277e+00      1.000000e-03      9.389363e-05     
