
time (s)          v("VIN" ?resul    v("VOUT" ?resu    getData("VDD:p

 0.000000e+00      2.500000e+00      1.837395e+00     -1.590227e-04     
 2.000000e-06      2.500012e+00      1.837445e+00     -1.590202e-04     
 4.000000e-06      2.500025e+00      1.837444e+00     -1.590203e-04     
 6.000000e-06      2.500037e+00      1.837426e+00     -1.590212e-04     
 8.000000e-06      2.500050e+00      1.837407e+00     -1.590221e-04     
 1.000000e-05      2.500062e+00      1.837387e+00     -1.590231e-04     
 1.200000e-05      2.500075e+00      1.837368e+00     -1.590241e-04     
 1.400000e-05      2.500087e+00      1.837349e+00     -1.590250e-04     
 1.600000e-05      2.500100e+00      1.837329e+00     -1.590260e-04     
 1.800000e-05      2.500112e+00      1.837310e+00     -1.590270e-04     
 2.000000e-05      2.500125e+00      1.837291e+00     -1.590279e-04     
 2.200000e-05      2.500137e+00      1.837272e+00     -1.590289e-04     
 2.400000e-05      2.500150e+00      1.837253e+00     -1.590299e-04     
 2.600000e-05      2.500162e+00      1.837234e+00     -1.590308e-04     
 2.800000e-05      2.500175e+00      1.837215e+00     -1.590318e-04     
 3.000000e-05      2.500187e+00      1.837196e+00     -1.590327e-04     
 3.200000e-05      2.500199e+00      1.837177e+00     -1.590337e-04     
 3.400000e-05      2.500212e+00      1.837159e+00     -1.590346e-04     
 3.600000e-05      2.500224e+00      1.837140e+00     -1.590355e-04     
 3.800000e-05      2.500236e+00      1.837122e+00     -1.590365e-04     
 4.000000e-05      2.500248e+00      1.837103e+00     -1.590374e-04     
 4.200000e-05      2.500260e+00      1.837085e+00     -1.590383e-04     
 4.400000e-05      2.500272e+00      1.837067e+00     -1.590392e-04     
 4.600000e-05      2.500285e+00      1.837048e+00     -1.590401e-04     
 4.800000e-05      2.500297e+00      1.837030e+00     -1.590411e-04     
 5.000000e-05      2.500309e+00      1.837012e+00     -1.590420e-04     
 5.200000e-05      2.500320e+00      1.836995e+00     -1.590429e-04     
 5.400000e-05      2.500332e+00      1.836977e+00     -1.590437e-04     
 5.600000e-05      2.500344e+00      1.836959e+00     -1.590446e-04     
 5.800000e-05      2.500356e+00      1.836942e+00     -1.590455e-04     
 6.000000e-05      2.500368e+00      1.836924e+00     -1.590464e-04     
 6.200000e-05      2.500379e+00      1.836907e+00     -1.590473e-04     
 6.400000e-05      2.500391e+00      1.836890e+00     -1.590481e-04     
 6.600000e-05      2.500402e+00      1.836873e+00     -1.590490e-04     
 6.800000e-05      2.500414e+00      1.836856e+00     -1.590498e-04     
 7.000000e-05      2.500425e+00      1.836839e+00     -1.590507e-04     
 7.200000e-05      2.500437e+00      1.836822e+00     -1.590515e-04     
 7.400000e-05      2.500448e+00      1.836806e+00     -1.590524e-04     
 7.600000e-05      2.500459e+00      1.836789e+00     -1.590532e-04     
 7.800000e-05      2.500470e+00      1.836773e+00     -1.590540e-04     
 8.000000e-05      2.500481e+00      1.836757e+00     -1.590548e-04     
 8.200000e-05      2.500492e+00      1.836741e+00     -1.590556e-04     
 8.400000e-05      2.500503e+00      1.836725e+00     -1.590564e-04     
 8.600000e-05      2.500514e+00      1.836709e+00     -1.590572e-04     
 8.800000e-05      2.500525e+00      1.836693e+00     -1.590580e-04     
 9.000000e-05      2.500535e+00      1.836678e+00     -1.590588e-04     
 9.200000e-05      2.500546e+00      1.836662e+00     -1.590596e-04     
 9.400000e-05      2.500556e+00      1.836647e+00     -1.590603e-04     
 9.600000e-05      2.500567e+00      1.836632e+00     -1.590611e-04     
 9.800000e-05      2.500577e+00      1.836617e+00     -1.590618e-04     
 1.000000e-04      2.500587e+00      1.836603e+00     -1.590626e-04     
 1.020000e-04      2.500597e+00      1.836588e+00     -1.590633e-04     
 1.040000e-04      2.500607e+00      1.836574e+00     -1.590640e-04     
 1.060000e-04      2.500617e+00      1.836560e+00     -1.590647e-04     
 1.080000e-04      2.500627e+00      1.836546e+00     -1.590654e-04     
 1.100000e-04      2.500637e+00      1.836532e+00     -1.590661e-04     
 1.120000e-04      2.500647e+00      1.836518e+00     -1.590668e-04     
 1.140000e-04      2.500656e+00      1.836505e+00     -1.590675e-04     
 1.160000e-04      2.500666e+00      1.836491e+00     -1.590682e-04     
 1.180000e-04      2.500675e+00      1.836478e+00     -1.590688e-04     
 1.200000e-04      2.500684e+00      1.836465e+00     -1.590695e-04     
 1.220000e-04      2.500693e+00      1.836452e+00     -1.590701e-04     
 1.240000e-04      2.500702e+00      1.836440e+00     -1.590708e-04     
 1.260000e-04      2.500711e+00      1.836427e+00     -1.590714e-04     
 1.280000e-04      2.500720e+00      1.836415e+00     -1.590720e-04     
 1.300000e-04      2.500728e+00      1.836403e+00     -1.590726e-04     
 1.320000e-04      2.500737e+00      1.836391e+00     -1.590732e-04     
 1.340000e-04      2.500745e+00      1.836379e+00     -1.590738e-04     
 1.360000e-04      2.500754e+00      1.836368e+00     -1.590744e-04     
 1.380000e-04      2.500762e+00      1.836356e+00     -1.590750e-04     
 1.400000e-04      2.500770e+00      1.836345e+00     -1.590755e-04     
 1.420000e-04      2.500778e+00      1.836334e+00     -1.590761e-04     
 1.440000e-04      2.500786e+00      1.836323e+00     -1.590766e-04     
 1.460000e-04      2.500793e+00      1.836313e+00     -1.590771e-04     
 1.480000e-04      2.500801e+00      1.836303e+00     -1.590776e-04     
 1.500000e-04      2.500809e+00      1.836292e+00     -1.590782e-04     
 1.520000e-04      2.500816e+00      1.836283e+00     -1.590787e-04     
 1.540000e-04      2.500823e+00      1.836273e+00     -1.590791e-04     
 1.560000e-04      2.500830e+00      1.836263e+00     -1.590796e-04     
 1.580000e-04      2.500837e+00      1.836254e+00     -1.590801e-04     
 1.600000e-04      2.500844e+00      1.836245e+00     -1.590806e-04     
 1.620000e-04      2.500850e+00      1.836236e+00     -1.590810e-04     
 1.640000e-04      2.500857e+00      1.836227e+00     -1.590814e-04     
 1.660000e-04      2.500863e+00      1.836219e+00     -1.590819e-04     
 1.680000e-04      2.500870e+00      1.836211e+00     -1.590823e-04     
 1.700000e-04      2.500876e+00      1.836202e+00     -1.590827e-04     
 1.720000e-04      2.500882e+00      1.836195e+00     -1.590831e-04     
 1.740000e-04      2.500888e+00      1.836187e+00     -1.590835e-04     
 1.760000e-04      2.500893e+00      1.836180e+00     -1.590838e-04     
 1.780000e-04      2.500899e+00      1.836172e+00     -1.590842e-04     
 1.800000e-04      2.500904e+00      1.836165e+00     -1.590845e-04     
 1.820000e-04      2.500910e+00      1.836159e+00     -1.590849e-04     
 1.840000e-04      2.500915e+00      1.836152e+00     -1.590852e-04     
 1.860000e-04      2.500920e+00      1.836146e+00     -1.590855e-04     
 1.880000e-04      2.500925e+00      1.836140e+00     -1.590858e-04     
 1.900000e-04      2.500929e+00      1.836134e+00     -1.590861e-04     
 1.920000e-04      2.500934e+00      1.836128e+00     -1.590864e-04     
 1.940000e-04      2.500938e+00      1.836123e+00     -1.590867e-04     
 1.960000e-04      2.500942e+00      1.836118e+00     -1.590869e-04     
 1.980000e-04      2.500947e+00      1.836113e+00     -1.590872e-04     
 2.000000e-04      2.500951e+00      1.836108e+00     -1.590874e-04     
 2.020000e-04      2.500954e+00      1.836104e+00     -1.590877e-04     
 2.040000e-04      2.500958e+00      1.836099e+00     -1.590879e-04     
 2.060000e-04      2.500962e+00      1.836095e+00     -1.590881e-04     
 2.080000e-04      2.500965e+00      1.836091e+00     -1.590883e-04     
 2.100000e-04      2.500968e+00      1.836088e+00     -1.590884e-04     
 2.120000e-04      2.500971e+00      1.836085e+00     -1.590886e-04     
 2.140000e-04      2.500974e+00      1.836081e+00     -1.590888e-04     
 2.160000e-04      2.500977e+00      1.836079e+00     -1.590889e-04     
 2.180000e-04      2.500979e+00      1.836076e+00     -1.590890e-04     
 2.200000e-04      2.500982e+00      1.836073e+00     -1.590892e-04     
 2.220000e-04      2.500984e+00      1.836071e+00     -1.590893e-04     
 2.240000e-04      2.500986e+00      1.836069e+00     -1.590894e-04     
 2.260000e-04      2.500988e+00      1.836068e+00     -1.590895e-04     
 2.280000e-04      2.500990e+00      1.836066e+00     -1.590895e-04     
 2.300000e-04      2.500992e+00      1.836065e+00     -1.590896e-04     
 2.320000e-04      2.500993e+00      1.836064e+00     -1.590897e-04     
 2.340000e-04      2.500994e+00      1.836063e+00     -1.590897e-04     
 2.360000e-04      2.500996e+00      1.836062e+00     -1.590897e-04     
 2.380000e-04      2.500997e+00      1.836062e+00     -1.590897e-04     
 2.400000e-04      2.500998e+00      1.836062e+00     -1.590897e-04     
 2.420000e-04      2.500998e+00      1.836062e+00     -1.590897e-04     
 2.440000e-04      2.500999e+00      1.836062e+00     -1.590897e-04     
 2.460000e-04      2.500999e+00      1.836063e+00     -1.590897e-04     
 2.480000e-04      2.500999e+00      1.836064e+00     -1.590897e-04     
 2.500000e-04      2.501000e+00      1.836065e+00     -1.590896e-04     
 2.520000e-04      2.500999e+00      1.836066e+00     -1.590895e-04     
 2.540000e-04      2.500999e+00      1.836068e+00     -1.590895e-04     
 2.560000e-04      2.500999e+00      1.836070e+00     -1.590894e-04     
 2.580000e-04      2.500998e+00      1.836072e+00     -1.590893e-04     
 2.600000e-04      2.500998e+00      1.836074e+00     -1.590892e-04     
 2.620000e-04      2.500997e+00      1.836076e+00     -1.590890e-04     
 2.640000e-04      2.500996e+00      1.836079e+00     -1.590889e-04     
 2.660000e-04      2.500994e+00      1.836082e+00     -1.590887e-04     
 2.680000e-04      2.500993e+00      1.836085e+00     -1.590886e-04     
 2.700000e-04      2.500992e+00      1.836088e+00     -1.590884e-04     
 2.720000e-04      2.500990e+00      1.836092e+00     -1.590882e-04     
 2.740000e-04      2.500988e+00      1.836096e+00     -1.590880e-04     
 2.760000e-04      2.500986e+00      1.836100e+00     -1.590878e-04     
 2.780000e-04      2.500984e+00      1.836104e+00     -1.590876e-04     
 2.800000e-04      2.500982e+00      1.836109e+00     -1.590874e-04     
 2.820000e-04      2.500979e+00      1.836114e+00     -1.590872e-04     
 2.840000e-04      2.500977e+00      1.836119e+00     -1.590869e-04     
 2.860000e-04      2.500974e+00      1.836124e+00     -1.590866e-04     
 2.880000e-04      2.500971e+00      1.836129e+00     -1.590864e-04     
 2.900000e-04      2.500968e+00      1.836135e+00     -1.590861e-04     
 2.920000e-04      2.500965e+00      1.836141e+00     -1.590858e-04     
 2.940000e-04      2.500962e+00      1.836147e+00     -1.590855e-04     
 2.960000e-04      2.500958e+00      1.836153e+00     -1.590852e-04     
 2.980000e-04      2.500954e+00      1.836160e+00     -1.590848e-04     
 3.000000e-04      2.500951e+00      1.836167e+00     -1.590845e-04     
 3.020000e-04      2.500947e+00      1.836174e+00     -1.590841e-04     
 3.040000e-04      2.500942e+00      1.836181e+00     -1.590838e-04     
 3.060000e-04      2.500938e+00      1.836188e+00     -1.590834e-04     
 3.080000e-04      2.500934e+00      1.836196e+00     -1.590830e-04     
 3.100000e-04      2.500929e+00      1.836204e+00     -1.590826e-04     
 3.120000e-04      2.500925e+00      1.836212e+00     -1.590822e-04     
 3.140000e-04      2.500920e+00      1.836220e+00     -1.590818e-04     
 3.160000e-04      2.500915e+00      1.836228e+00     -1.590814e-04     
