
freq (Hz)         v("VIN" ?resul    v("VOUT" ?resu

 1.000000e-01      1.000000e-03      8.223530e-04     
 1.047128e-01      1.000000e-03      8.589130e-04     
 1.096478e-01      1.000000e-03      8.968980e-04     
 1.148153e-01      1.000000e-03      9.363376e-04     
 1.202264e-01      1.000000e-03      9.772585e-04     
 1.258925e-01      1.000000e-03      1.019684e-03     
 1.318256e-01      1.000000e-03      1.063635e-03     
 1.380384e-01      1.000000e-03      1.109127e-03     
 1.445439e-01      1.000000e-03      1.156171e-03     
 1.513561e-01      1.000000e-03      1.204775e-03     
 1.584893e-01      1.000000e-03      1.254939e-03     
 1.659586e-01      1.000000e-03      1.306660e-03     
 1.737800e-01      1.000000e-03      1.359928e-03     
 1.819700e-01      1.000000e-03      1.414728e-03     
 1.905460e-01      1.000000e-03      1.471039e-03     
 1.995262e-01      1.000000e-03      1.528833e-03     
 2.089296e-01      1.000000e-03      1.588080e-03     
 2.187761e-01      1.000000e-03      1.648743e-03     
 2.290867e-01      1.000000e-03      1.710783e-03     
 2.398832e-01      1.000000e-03      1.774155e-03     
 2.511886e-01      1.000000e-03      1.838818e-03     
 2.630267e-01      1.000000e-03      1.904728e-03     
 2.754228e-01      1.000000e-03      1.971842e-03     
 2.884031e-01      1.000000e-03      2.040124e-03     
 3.019951e-01      1.000000e-03      2.109543e-03     
 3.162277e-01      1.000000e-03      2.180076e-03     
 3.311311e-01      1.000000e-03      2.251711e-03     
 3.467368e-01      1.000000e-03      2.324450e-03     
 3.630780e-01      1.000000e-03      2.398310e-03     
 3.801893e-01      1.000000e-03      2.473327e-03     
 3.981071e-01      1.000000e-03      2.549556e-03     
 4.168693e-01      1.000000e-03      2.627075e-03     
 4.365158e-01      1.000000e-03      2.705983e-03     
 4.570881e-01      1.000000e-03      2.786406e-03     
 4.786300e-01      1.000000e-03      2.868495e-03     
 5.011872e-01      1.000000e-03      2.952426e-03     
 5.248074e-01      1.000000e-03      3.038402e-03     
 5.495408e-01      1.000000e-03      3.126651e-03     
 5.754399e-01      1.000000e-03      3.217427e-03     
 6.025595e-01      1.000000e-03      3.311008e-03     
 6.309573e-01      1.000000e-03      3.407695e-03     
 6.606934e-01      1.000000e-03      3.507811e-03     
 6.918309e-01      1.000000e-03      3.611700e-03     
 7.244359e-01      1.000000e-03      3.719724e-03     
 7.585775e-01      1.000000e-03      3.832263e-03     
 7.943282e-01      1.000000e-03      3.949713e-03     
 8.317637e-01      1.000000e-03      4.072485e-03     
 8.709635e-01      1.000000e-03      4.200999e-03     
 9.120108e-01      1.000000e-03      4.335692e-03     
 9.549925e-01      1.000000e-03      4.477007e-03     
 1.000000e+00      1.000000e-03      4.625399e-03     
 1.047128e+00      1.000000e-03      4.781331e-03     
 1.096478e+00      1.000000e-03      4.945273e-03     
 1.148153e+00      1.000000e-03      5.117705e-03     
 1.202264e+00      1.000000e-03      5.299113e-03     
 1.258925e+00      1.000000e-03      5.489988e-03     
 1.318256e+00      1.000000e-03      5.690833e-03     
 1.380384e+00      1.000000e-03      5.902154e-03     
 1.445439e+00      1.000000e-03      6.124468e-03     
 1.513561e+00      1.000000e-03      6.358295e-03     
 1.584893e+00      1.000000e-03      6.604168e-03     
 1.659586e+00      1.000000e-03      6.862624e-03     
 1.737800e+00      1.000000e-03      7.134210e-03     
 1.819700e+00      1.000000e-03      7.419480e-03     
 1.905460e+00      1.000000e-03      7.718997e-03     
 1.995262e+00      1.000000e-03      8.033332e-03     
 2.089296e+00      1.000000e-03      8.363059e-03     
 2.187761e+00      1.000000e-03      8.708763e-03     
 2.290867e+00      1.000000e-03      9.071031e-03     
 2.398832e+00      1.000000e-03      9.450454e-03     
 2.511886e+00      1.000000e-03      9.847626e-03     
 2.630267e+00      1.000000e-03      1.026313e-02     
 2.754228e+00      1.000000e-03      1.069757e-02     
 2.884031e+00      1.000000e-03      1.115152e-02     
 3.019951e+00      1.000000e-03      1.162555e-02     
 3.162277e+00      1.000000e-03      1.212022e-02     
 3.311311e+00      1.000000e-03      1.263606e-02     
 3.467368e+00      1.000000e-03      1.317357e-02     
