
time (s)          v("VIN" ?resul    v("VOUT" ?resu    getData("VDD:p

 0.000000e+00      2.500000e+00      1.463282e+00     -4.153307e-04     
 2.000000e-06      2.500012e+00      1.463251e+00     -4.153343e-04     
 4.000000e-06      2.500025e+00      1.463194e+00     -4.153410e-04     
 6.000000e-06      2.500037e+00      1.463104e+00     -4.153516e-04     
 8.000000e-06      2.500050e+00      1.462982e+00     -4.153660e-04     
 1.000000e-05      2.500062e+00      1.462829e+00     -4.153838e-04     
 1.200000e-05      2.500075e+00      1.462649e+00     -4.154051e-04     
 1.400000e-05      2.500087e+00      1.462441e+00     -4.154295e-04     
 1.600000e-05      2.500100e+00      1.462208e+00     -4.154568e-04     
 1.800000e-05      2.500112e+00      1.461951e+00     -4.154870e-04     
 2.000000e-05      2.500125e+00      1.461671e+00     -4.155199e-04     
 2.200000e-05      2.500137e+00      1.461369e+00     -4.155553e-04     
 2.400000e-05      2.500150e+00      1.461047e+00     -4.155931e-04     
 2.600000e-05      2.500162e+00      1.460706e+00     -4.156332e-04     
 2.800000e-05      2.500175e+00      1.460347e+00     -4.156754e-04     
 3.000000e-05      2.500187e+00      1.459971e+00     -4.157195e-04     
 3.200000e-05      2.500199e+00      1.459579e+00     -4.157656e-04     
 3.400000e-05      2.500212e+00      1.459171e+00     -4.158134e-04     
 3.600000e-05      2.500224e+00      1.458750e+00     -4.158630e-04     
 3.800000e-05      2.500236e+00      1.458314e+00     -4.159141e-04     
 4.000000e-05      2.500248e+00      1.457867e+00     -4.159666e-04     
 4.200000e-05      2.500260e+00      1.457407e+00     -4.160206e-04     
 4.400000e-05      2.500272e+00      1.456937e+00     -4.160759e-04     
 4.600000e-05      2.500285e+00      1.456456e+00     -4.161323e-04     
 4.800000e-05      2.500297e+00      1.455965e+00     -4.161899e-04     
 5.000000e-05      2.500309e+00      1.455466e+00     -4.162486e-04     
 5.200000e-05      2.500320e+00      1.454958e+00     -4.163083e-04     
 5.400000e-05      2.500332e+00      1.454442e+00     -4.163689e-04     
 5.600000e-05      2.500344e+00      1.453919e+00     -4.164303e-04     
 5.800000e-05      2.500356e+00      1.453389e+00     -4.164925e-04     
 6.000000e-05      2.500368e+00      1.452853e+00     -4.165554e-04     
 6.200000e-05      2.500379e+00      1.452311e+00     -4.166191e-04     
 6.400000e-05      2.500391e+00      1.451764e+00     -4.166833e-04     
 6.600000e-05      2.500402e+00      1.451212e+00     -4.167481e-04     
 6.800000e-05      2.500414e+00      1.450656e+00     -4.168134e-04     
 7.000000e-05      2.500425e+00      1.450097e+00     -4.168791e-04     
 7.200000e-05      2.500437e+00      1.449533e+00     -4.169453e-04     
