
time (s)          v("VIN" ?resul    v("VOUT" ?resu    getData("VDD:p

 0.000000e+00      2.500000e+00      4.236604e+00     -4.048493e-04     
 2.000000e-06      2.500012e+00      4.236498e+00     -4.049056e-04     
 4.000000e-06      2.500025e+00      4.236357e+00     -4.049803e-04     
 6.000000e-06      2.500037e+00      4.236202e+00     -4.050626e-04     
 8.000000e-06      2.500050e+00      4.236045e+00     -4.051458e-04     
 1.000000e-05      2.500062e+00      4.235888e+00     -4.052290e-04     
 1.200000e-05      2.500075e+00      4.235732e+00     -4.053121e-04     
 1.400000e-05      2.500087e+00      4.235575e+00     -4.053951e-04     
 1.600000e-05      2.500100e+00      4.235419e+00     -4.054780e-04     
 1.800000e-05      2.500112e+00      4.235263e+00     -4.055607e-04     
 2.000000e-05      2.500125e+00      4.235107e+00     -4.056432e-04     
 2.200000e-05      2.500137e+00      4.234952e+00     -4.057256e-04     
 2.400000e-05      2.500150e+00      4.234797e+00     -4.058077e-04     
 2.600000e-05      2.500162e+00      4.234643e+00     -4.058897e-04     
 2.800000e-05      2.500175e+00      4.234488e+00     -4.059714e-04     
 3.000000e-05      2.500187e+00      4.234335e+00     -4.060529e-04     
 3.200000e-05      2.500199e+00      4.234182e+00     -4.061341e-04     
 3.400000e-05      2.500212e+00      4.234029e+00     -4.062151e-04     
 3.600000e-05      2.500224e+00      4.233877e+00     -4.062958e-04     
 3.800000e-05      2.500236e+00      4.233725e+00     -4.063762e-04     
 4.000000e-05      2.500248e+00      4.233574e+00     -4.064564e-04     
 4.200000e-05      2.500260e+00      4.233423e+00     -4.065362e-04     
 4.400000e-05      2.500272e+00      4.233274e+00     -4.066156e-04     
 4.600000e-05      2.500285e+00      4.233124e+00     -4.066948e-04     
 4.800000e-05      2.500297e+00      4.232976e+00     -4.067736e-04     
 5.000000e-05      2.500309e+00      4.232828e+00     -4.068520e-04     
 5.200000e-05      2.500320e+00      4.232681e+00     -4.069301e-04     
 5.400000e-05      2.500332e+00      4.232534e+00     -4.070077e-04     
 5.600000e-05      2.500344e+00      4.232389e+00     -4.070850e-04     
 5.800000e-05      2.500356e+00      4.232244e+00     -4.071619e-04     
 6.000000e-05      2.500368e+00      4.232099e+00     -4.072383e-04     
 6.200000e-05      2.500379e+00      4.231956e+00     -4.073143e-04     
 6.400000e-05      2.500391e+00      4.231814e+00     -4.073899e-04     
 6.600000e-05      2.500402e+00      4.231672e+00     -4.074650e-04     
 6.800000e-05      2.500414e+00      4.231531e+00     -4.075396e-04     
 7.000000e-05      2.500425e+00      4.231392e+00     -4.076137e-04     
 7.200000e-05      2.500437e+00      4.231253e+00     -4.076874e-04     
 7.400000e-05      2.500448e+00      4.231115e+00     -4.077605e-04     
 7.600000e-05      2.500459e+00      4.230978e+00     -4.078331e-04     
 7.800000e-05      2.500470e+00      4.230842e+00     -4.079052e-04     
 8.000000e-05      2.500481e+00      4.230707e+00     -4.079767e-04     
 8.200000e-05      2.500492e+00      4.230573e+00     -4.080477e-04     
 8.400000e-05      2.500503e+00      4.230440e+00     -4.081181e-04     
 8.600000e-05      2.500514e+00      4.230309e+00     -4.081880e-04     
 8.800000e-05      2.500525e+00      4.230178e+00     -4.082573e-04     
 9.000000e-05      2.500535e+00      4.230049e+00     -4.083259e-04     
 9.200000e-05      2.500546e+00      4.229920e+00     -4.083940e-04     
 9.400000e-05      2.500556e+00      4.229793e+00     -4.084614e-04     
 9.600000e-05      2.500567e+00      4.229667e+00     -4.085282e-04     
 9.800000e-05      2.500577e+00      4.229542e+00     -4.085944e-04     
 1.000000e-04      2.500587e+00      4.229419e+00     -4.086599e-04     
 1.020000e-04      2.500597e+00      4.229297e+00     -4.087248e-04     
 1.040000e-04      2.500607e+00      4.229176e+00     -4.087889e-04     
 1.060000e-04      2.500617e+00      4.229056e+00     -4.088524e-04     
 1.080000e-04      2.500627e+00      4.228937e+00     -4.089152e-04     
 1.100000e-04      2.500637e+00      4.228820e+00     -4.089774e-04     
 1.120000e-04      2.500647e+00      4.228705e+00     -4.090387e-04     
 1.140000e-04      2.500656e+00      4.228590e+00     -4.090994e-04     
 1.160000e-04      2.500666e+00      4.228477e+00     -4.091594e-04     
 1.180000e-04      2.500675e+00      4.228366e+00     -4.092186e-04     
 1.200000e-04      2.500684e+00      4.228255e+00     -4.092770e-04     
 1.220000e-04      2.500693e+00      4.228147e+00     -4.093347e-04     
 1.240000e-04      2.500702e+00      4.228039e+00     -4.093916e-04     
 1.260000e-04      2.500711e+00      4.227933e+00     -4.094477e-04     
 1.280000e-04      2.500720e+00      4.227829e+00     -4.095031e-04     
 1.300000e-04      2.500728e+00      4.227726e+00     -4.095576e-04     
 1.320000e-04      2.500737e+00      4.227625e+00     -4.096114e-04     
 1.340000e-04      2.500745e+00      4.227525e+00     -4.096643e-04     
 1.360000e-04      2.500754e+00      4.227427e+00     -4.097165e-04     
 1.380000e-04      2.500762e+00      4.227330e+00     -4.097677e-04     
 1.400000e-04      2.500770e+00      4.227235e+00     -4.098182e-04     
 1.420000e-04      2.500778e+00      4.227141e+00     -4.098678e-04     
 1.440000e-04      2.500786e+00      4.227049e+00     -4.099165e-04     
 1.460000e-04      2.500793e+00      4.226959e+00     -4.099644e-04     
 1.480000e-04      2.500801e+00      4.226870e+00     -4.100114e-04     
 1.500000e-04      2.500809e+00      4.226783e+00     -4.100576e-04     
 1.520000e-04      2.500816e+00      4.226698e+00     -4.101028e-04     
 1.540000e-04      2.500823e+00      4.226614e+00     -4.101472e-04     
 1.560000e-04      2.500830e+00      4.226532e+00     -4.101907e-04     
 1.580000e-04      2.500837e+00      4.226452e+00     -4.102332e-04     
 1.600000e-04      2.500844e+00      4.226374e+00     -4.102749e-04     
 1.620000e-04      2.500850e+00      4.226297e+00     -4.103156e-04     
 1.640000e-04      2.500857e+00      4.226222e+00     -4.103554e-04     
 1.660000e-04      2.500863e+00      4.226149e+00     -4.103943e-04     
 1.680000e-04      2.500870e+00      4.226077e+00     -4.104322e-04     
 1.700000e-04      2.500876e+00      4.226007e+00     -4.104692e-04     
 1.720000e-04      2.500882e+00      4.225939e+00     -4.105052e-04     
 1.740000e-04      2.500888e+00      4.225873e+00     -4.105403e-04     
 1.760000e-04      2.500893e+00      4.225809e+00     -4.105745e-04     
 1.780000e-04      2.500899e+00      4.225746e+00     -4.106076e-04     
 1.800000e-04      2.500904e+00      4.225686e+00     -4.106398e-04     
 1.820000e-04      2.500910e+00      4.225627e+00     -4.106710e-04     
 1.840000e-04      2.500915e+00      4.225570e+00     -4.107012e-04     
 1.860000e-04      2.500920e+00      4.225515e+00     -4.107305e-04     
 1.880000e-04      2.500925e+00      4.225461e+00     -4.107587e-04     
 1.900000e-04      2.500929e+00      4.225410e+00     -4.107860e-04     
 1.920000e-04      2.500934e+00      4.225360e+00     -4.108122e-04     
 1.940000e-04      2.500938e+00      4.225313e+00     -4.108375e-04     
 1.960000e-04      2.500942e+00      4.225267e+00     -4.108617e-04     
 1.980000e-04      2.500947e+00      4.225223e+00     -4.108849e-04     
 2.000000e-04      2.500951e+00      4.225181e+00     -4.109071e-04     
 2.020000e-04      2.500954e+00      4.225141e+00     -4.109283e-04     
 2.040000e-04      2.500958e+00      4.225103e+00     -4.109485e-04     
 2.060000e-04      2.500962e+00      4.225067e+00     -4.109676e-04     
 2.080000e-04      2.500965e+00      4.225033e+00     -4.109858e-04     
 2.100000e-04      2.500968e+00      4.225001e+00     -4.110028e-04     
 2.120000e-04      2.500971e+00      4.224971e+00     -4.110189e-04     
 2.140000e-04      2.500974e+00      4.224942e+00     -4.110339e-04     
 2.160000e-04      2.500977e+00      4.224916e+00     -4.110479e-04     
 2.180000e-04      2.500979e+00      4.224892e+00     -4.110608e-04     
 2.200000e-04      2.500982e+00      4.224869e+00     -4.110727e-04     
 2.220000e-04      2.500984e+00      4.224849e+00     -4.110835e-04     
 2.240000e-04      2.500986e+00      4.224830e+00     -4.110933e-04     
 2.260000e-04      2.500988e+00      4.224814e+00     -4.111021e-04     
 2.280000e-04      2.500990e+00      4.224799e+00     -4.111098e-04     
 2.300000e-04      2.500992e+00      4.224787e+00     -4.111164e-04     
 2.320000e-04      2.500993e+00      4.224776e+00     -4.111220e-04     
 2.340000e-04      2.500994e+00      4.224768e+00     -4.111265e-04     
 2.360000e-04      2.500996e+00      4.224761e+00     -4.111300e-04     
 2.380000e-04      2.500997e+00      4.224757e+00     -4.111324e-04     
 2.400000e-04      2.500998e+00      4.224754e+00     -4.111338e-04     
 2.420000e-04      2.500998e+00      4.224753e+00     -4.111341e-04     
 2.440000e-04      2.500999e+00      4.224755e+00     -4.111334e-04     
 2.460000e-04      2.500999e+00      4.224758e+00     -4.111316e-04     
 2.480000e-04      2.500999e+00      4.224764e+00     -4.111288e-04     
 2.500000e-04      2.501000e+00      4.224771e+00     -4.111249e-04     
 2.520000e-04      2.500999e+00      4.224780e+00     -4.111199e-04     
 2.540000e-04      2.500999e+00      4.224792e+00     -4.111139e-04     
 2.560000e-04      2.500999e+00      4.224805e+00     -4.111068e-04     
 2.580000e-04      2.500998e+00      4.224820e+00     -4.110987e-04     
 2.600000e-04      2.500998e+00      4.224837e+00     -4.110896e-04     
 2.620000e-04      2.500997e+00      4.224857e+00     -4.110794e-04     
 2.640000e-04      2.500996e+00      4.224878e+00     -4.110681e-04     
 2.660000e-04      2.500994e+00      4.224901e+00     -4.110558e-04     
 2.680000e-04      2.500993e+00      4.224926e+00     -4.110425e-04     
 2.700000e-04      2.500992e+00      4.224953e+00     -4.110281e-04     
 2.720000e-04      2.500990e+00      4.224982e+00     -4.110127e-04     
 2.740000e-04      2.500988e+00      4.225013e+00     -4.109963e-04     
 2.760000e-04      2.500986e+00      4.225046e+00     -4.109788e-04     
 2.780000e-04      2.500984e+00      4.225081e+00     -4.109603e-04     
 2.800000e-04      2.500982e+00      4.225118e+00     -4.109408e-04     
 2.820000e-04      2.500979e+00      4.225157e+00     -4.109202e-04     
 2.840000e-04      2.500977e+00      4.225197e+00     -4.108986e-04     
 2.860000e-04      2.500974e+00      4.225240e+00     -4.108761e-04     
 2.880000e-04      2.500971e+00      4.225285e+00     -4.108524e-04     
 2.900000e-04      2.500968e+00      4.225331e+00     -4.108278e-04     
 2.920000e-04      2.500965e+00      4.225379e+00     -4.108022e-04     
 2.940000e-04      2.500962e+00      4.225429e+00     -4.107756e-04     
 2.960000e-04      2.500958e+00      4.225482e+00     -4.107480e-04     
 2.980000e-04      2.500954e+00      4.225535e+00     -4.107194e-04     
 3.000000e-04      2.500951e+00      4.225591e+00     -4.106898e-04     
