
freq (Hz)         v("VIN" ?resul    v("VOUT" ?resu

 1.000000e-01      1.000000e-03      5.123287e-06     
 1.047128e-01      1.000000e-03      5.372364e-06     
 1.096478e-01      1.000000e-03      5.634292e-06     
 1.148153e-01      1.000000e-03      5.909838e-06     
 1.202264e-01      1.000000e-03      6.199827e-06     
 1.258925e-01      1.000000e-03      6.505150e-06     
 1.318256e-01      1.000000e-03      6.826768e-06     
 1.380384e-01      1.000000e-03      7.165720e-06     
 1.445439e-01      1.000000e-03      7.523135e-06     
 1.513561e-01      1.000000e-03      7.900234e-06     
 1.584893e-01      1.000000e-03      8.298347e-06     
 1.659586e-01      1.000000e-03      8.718920e-06     
 1.737800e-01      1.000000e-03      9.163529e-06     
 1.819700e-01      1.000000e-03      9.633895e-06     
 1.905460e-01      1.000000e-03      1.013189e-05     
 1.995262e-01      1.000000e-03      1.065958e-05     
 2.089296e-01      1.000000e-03      1.121921e-05     
 2.187761e-01      1.000000e-03      1.181325e-05     
 2.290867e-01      1.000000e-03      1.244440e-05     
 2.398832e-01      1.000000e-03      1.311562e-05     
 2.511886e-01      1.000000e-03      1.383018e-05     
 2.630267e-01      1.000000e-03      1.459166e-05     
 2.754228e-01      1.000000e-03      1.540397e-05     
 2.884031e-01      1.000000e-03      1.627146e-05     
 3.019951e-01      1.000000e-03      1.719885e-05     
 3.162277e-01      1.000000e-03      1.819135e-05     
 3.311311e-01      1.000000e-03      1.925470e-05     
 3.467368e-01      1.000000e-03      2.039515e-05     
 3.630780e-01      1.000000e-03      2.161959e-05     
 3.801893e-01      1.000000e-03      2.293556e-05     
 3.981071e-01      1.000000e-03      2.435129e-05     
 4.168693e-01      1.000000e-03      2.587580e-05     
 4.365158e-01      1.000000e-03      2.751892e-05     
 4.570881e-01      1.000000e-03      2.929138e-05     
 4.786300e-01      1.000000e-03      3.120484e-05     
 5.011872e-01      1.000000e-03      3.327197e-05     
 5.248074e-01      1.000000e-03      3.550651e-05     
 5.495408e-01      1.000000e-03      3.792336e-05     
 5.754399e-01      1.000000e-03      4.053858e-05     
 6.025595e-01      1.000000e-03      4.336948e-05     
 6.309573e-01      1.000000e-03      4.643471e-05     
 6.606934e-01      1.000000e-03      4.975425e-05     
 6.918309e-01      1.000000e-03      5.334948e-05     
 7.244359e-01      1.000000e-03      5.724323e-05     
 7.585775e-01      1.000000e-03      6.145980e-05     
 7.943282e-01      1.000000e-03      6.602497e-05     
 8.317637e-01      1.000000e-03      7.096602e-05     
 8.709635e-01      1.000000e-03      7.631169e-05     
 9.120108e-01      1.000000e-03      8.209221e-05     
 9.549925e-01      1.000000e-03      8.833921e-05     
 1.000000e+00      1.000000e-03      9.508570e-05     
 1.047128e+00      1.000000e-03      1.023659e-04     
 1.096478e+00      1.000000e-03      1.102154e-04     
 1.148153e+00      1.000000e-03      1.186706e-04     
 1.202264e+00      1.000000e-03      1.277690e-04     
 1.258925e+00      1.000000e-03      1.375489e-04     
 1.318256e+00      1.000000e-03      1.480491e-04     
 1.380384e+00      1.000000e-03      1.593090e-04     
 1.445439e+00      1.000000e-03      1.713679e-04     
 1.513561e+00      1.000000e-03      1.842657e-04     
 1.584893e+00      1.000000e-03      1.980419e-04     
 1.659586e+00      1.000000e-03      2.127357e-04     
 1.737800e+00      1.000000e-03      2.283861e-04     
 1.819700e+00      1.000000e-03      2.450316e-04     
 1.905460e+00      1.000000e-03      2.627102e-04     
 1.995262e+00      1.000000e-03      2.814591e-04     
 2.089296e+00      1.000000e-03      3.013154e-04     
 2.187761e+00      1.000000e-03      3.223154e-04     
 2.290867e+00      1.000000e-03      3.444952e-04     
 2.398832e+00      1.000000e-03      3.678908e-04     
 2.511886e+00      1.000000e-03      3.925384e-04     
 2.630267e+00      1.000000e-03      4.184743e-04     
 2.754228e+00      1.000000e-03      4.457358e-04     
 2.884031e+00      1.000000e-03      4.743608e-04     
 3.019951e+00      1.000000e-03      5.043890e-04     
 3.162277e+00      1.000000e-03      5.358615e-04     
 3.311311e+00      1.000000e-03      5.688217e-04     
 3.467368e+00      1.000000e-03      6.033151e-04     
 3.630780e+00      1.000000e-03      6.393904e-04     
 3.801893e+00      1.000000e-03      6.770991e-04     
 3.981071e+00      1.000000e-03      7.164960e-04     
 4.168693e+00      1.000000e-03      7.576399e-04     
 4.365158e+00      1.000000e-03      8.005930e-04     
 4.570881e+00      1.000000e-03      8.454218e-04     
 4.786300e+00      1.000000e-03      8.921970e-04     
 5.011872e+00      1.000000e-03      9.409936e-04     
 5.248074e+00      1.000000e-03      9.918910e-04     
 5.495408e+00      1.000000e-03      1.044973e-03     
 5.754399e+00      1.000000e-03      1.100328e-03     
 6.025595e+00      1.000000e-03      1.158049e-03     
 6.309573e+00      1.000000e-03      1.218234e-03     
 6.606934e+00      1.000000e-03      1.280983e-03     
 6.918309e+00      1.000000e-03      1.346405e-03     
 7.244359e+00      1.000000e-03      1.414608e-03     
 7.585775e+00      1.000000e-03      1.485707e-03     
 7.943282e+00      1.000000e-03      1.559821e-03     
 8.317637e+00      1.000000e-03      1.637071e-03     
 8.709635e+00      1.000000e-03      1.717582e-03     
 9.120108e+00      1.000000e-03      1.801484e-03     
 9.549925e+00      1.000000e-03      1.888906e-03     
 1.000000e+01      1.000000e-03      1.979981e-03     
 1.047128e+01      1.000000e-03      2.074844e-03     
 1.096478e+01      1.000000e-03      2.173630e-03     
 1.148153e+01      1.000000e-03      2.276475e-03     
 1.202264e+01      1.000000e-03      2.383513e-03     
 1.258925e+01      1.000000e-03      2.494878e-03     
 1.318256e+01      1.000000e-03      2.610699e-03     
 1.380384e+01      1.000000e-03      2.731104e-03     
 1.445439e+01      1.000000e-03      2.856214e-03     
 1.513561e+01      1.000000e-03      2.986142e-03     
 1.584893e+01      1.000000e-03      3.120994e-03     
 1.659586e+01      1.000000e-03      3.260866e-03     
 1.737800e+01      1.000000e-03      3.405839e-03     
 1.819700e+01      1.000000e-03      3.555980e-03     
 1.905460e+01      1.000000e-03      3.711340e-03     
 1.995262e+01      1.000000e-03      3.871950e-03     
 2.089296e+01      1.000000e-03      4.037817e-03     
 2.187761e+01      1.000000e-03      4.208923e-03     
 2.290867e+01      1.000000e-03      4.385223e-03     
 2.398832e+01      1.000000e-03      4.566639e-03     
 2.511886e+01      1.000000e-03      4.753060e-03     
 2.630267e+01      1.000000e-03      4.944340e-03     
 2.754228e+01      1.000000e-03      5.140290e-03     
 2.884031e+01      1.000000e-03      5.340684e-03     
 3.019951e+01      1.000000e-03      5.545249e-03     
 3.162277e+01      1.000000e-03      5.753669e-03     
 3.311311e+01      1.000000e-03      5.965585e-03     
 3.467368e+01      1.000000e-03      6.180588e-03     
 3.630780e+01      1.000000e-03      6.398230e-03     
 3.801893e+01      1.000000e-03      6.618019e-03     
 3.981071e+01      1.000000e-03      6.839422e-03     
 4.168693e+01      1.000000e-03      7.061873e-03     
 4.365158e+01      1.000000e-03      7.284775e-03     
 4.570881e+01      1.000000e-03      7.507506e-03     
 4.786300e+01      1.000000e-03      7.729427e-03     
 5.011872e+01      1.000000e-03      7.949888e-03     
 5.248074e+01      1.000000e-03      8.168239e-03     
 5.495408e+01      1.000000e-03      8.383836e-03     
 5.754399e+01      1.000000e-03      8.596050e-03     
 6.025595e+01      1.000000e-03      8.804278e-03     
 6.309573e+01      1.000000e-03      9.007947e-03     
 6.606934e+01      1.000000e-03      9.206527e-03     
 6.918309e+01      1.000000e-03      9.399533e-03     
 7.244359e+01      1.000000e-03      9.586533e-03     
 7.585775e+01      1.000000e-03      9.767152e-03     
 7.943282e+01      1.000000e-03      9.941075e-03     
 8.317637e+01      1.000000e-03      1.010804e-02     
 8.709635e+01      1.000000e-03      1.026788e-02     
 9.120108e+01      1.000000e-03      1.042044e-02     
 9.549925e+01      1.000000e-03      1.056566e-02     
 1.000000e+02      1.000000e-03      1.070352e-02     
 1.047128e+02      1.000000e-03      1.083406e-02     
 1.096478e+02      1.000000e-03      1.095736e-02     
 1.148153e+02      1.000000e-03      1.107356e-02     
 1.202264e+02      1.000000e-03      1.118282e-02     
 1.258925e+02      1.000000e-03      1.128532e-02     
 1.318256e+02      1.000000e-03      1.138130e-02     
 1.380384e+02      1.000000e-03      1.147100e-02     
