
time (s)          v("VIN" ?resul    v("VOUT" ?resu    getData("VDD:p

 0.000000e+00      2.500000e+00      3.233123e+00     -5.354171e-04     
 2.000000e-06      2.500012e+00      3.233029e+00     -5.354456e-04     
 4.000000e-06      2.500025e+00      3.232898e+00     -5.354854e-04     
 6.000000e-06      2.500037e+00      3.232726e+00     -5.355374e-04     
 8.000000e-06      2.500050e+00      3.232523e+00     -5.355989e-04     
 1.000000e-05      2.500062e+00      3.232297e+00     -5.356673e-04     
 1.200000e-05      2.500075e+00      3.232054e+00     -5.357410e-04     
 1.400000e-05      2.500087e+00      3.231798e+00     -5.358187e-04     
 1.600000e-05      2.500100e+00      3.231531e+00     -5.358994e-04     
 1.800000e-05      2.500112e+00      3.231258e+00     -5.359823e-04     
 2.000000e-05      2.500125e+00      3.230979e+00     -5.360669e-04     
 2.200000e-05      2.500137e+00      3.230695e+00     -5.361527e-04     
 2.400000e-05      2.500150e+00      3.230410e+00     -5.362393e-04     
 2.600000e-05      2.500162e+00      3.230122e+00     -5.363266e-04     
 2.800000e-05      2.500175e+00      3.229832e+00     -5.364143e-04     
 3.000000e-05      2.500187e+00      3.229542e+00     -5.365022e-04     
 3.200000e-05      2.500199e+00      3.229251e+00     -5.365903e-04     
 3.400000e-05      2.500212e+00      3.228961e+00     -5.366784e-04     
 3.600000e-05      2.500224e+00      3.228670e+00     -5.367665e-04     
 3.800000e-05      2.500236e+00      3.228380e+00     -5.368545e-04     
 4.000000e-05      2.500248e+00      3.228090e+00     -5.369424e-04     
 4.200000e-05      2.500260e+00      3.227800e+00     -5.370300e-04     
 4.400000e-05      2.500272e+00      3.227512e+00     -5.371175e-04     
 4.600000e-05      2.500285e+00      3.227224e+00     -5.372047e-04     
 4.800000e-05      2.500297e+00      3.226937e+00     -5.372917e-04     
 5.000000e-05      2.500309e+00      3.226651e+00     -5.373783e-04     
 5.200000e-05      2.500320e+00      3.226366e+00     -5.374647e-04     
 5.400000e-05      2.500332e+00      3.226082e+00     -5.375507e-04     
 5.600000e-05      2.500344e+00      3.225799e+00     -5.376364e-04     
 5.800000e-05      2.500356e+00      3.225518e+00     -5.377217e-04     
 6.000000e-05      2.500368e+00      3.225237e+00     -5.378067e-04     
 6.200000e-05      2.500379e+00      3.224958e+00     -5.378912e-04     
 6.400000e-05      2.500391e+00      3.224681e+00     -5.379753e-04     
 6.600000e-05      2.500402e+00      3.224404e+00     -5.380591e-04     
 6.800000e-05      2.500414e+00      3.224130e+00     -5.381423e-04     
 7.000000e-05      2.500425e+00      3.223856e+00     -5.382252e-04     
