
freq (Hz)         v("VIN" ?resul    v("VOUT" ?resu
 2.630267e+01      1.000000e-03      1.615274e-02     
 2.754228e+01      1.000000e-03      1.655081e-02     
 2.884031e+01      1.000000e-03      1.694061e-02     
 3.019951e+01      1.000000e-03      1.732109e-02     
 3.162277e+01      1.000000e-03      1.769131e-02     
 3.311311e+01      1.000000e-03      1.805040e-02     
 3.467368e+01      1.000000e-03      1.839763e-02     
 3.630780e+01      1.000000e-03      1.873234e-02     
 3.801893e+01      1.000000e-03      1.905403e-02     
 3.981071e+01      1.000000e-03      1.936227e-02     
 4.168693e+01      1.000000e-03      1.965679e-02     
 4.365158e+01      1.000000e-03      1.993741e-02     
 4.570881e+01      1.000000e-03      2.020406e-02     
 4.786300e+01      1.000000e-03      2.045678e-02     
 5.011872e+01      1.000000e-03      2.069571e-02     
 5.248074e+01      1.000000e-03      2.092104e-02     
 5.495408e+01      1.000000e-03      2.113308e-02     
 5.754399e+01      1.000000e-03      2.133217e-02     
 6.025595e+01      1.000000e-03      2.151871e-02     
 6.309573e+01      1.000000e-03      2.169317e-02     
 6.606934e+01      1.000000e-03      2.185602e-02     
 6.918309e+01      1.000000e-03      2.200778e-02     
 7.244359e+01      1.000000e-03      2.214896e-02     
 7.585775e+01      1.000000e-03      2.228011e-02     
 7.943282e+01      1.000000e-03      2.240177e-02     
 8.317637e+01      1.000000e-03      2.251447e-02     
 8.709635e+01      1.000000e-03      2.261875e-02     
 9.120108e+01      1.000000e-03      2.271511e-02     
 9.549925e+01      1.000000e-03      2.280408e-02     
 1.000000e+02      1.000000e-03      2.288613e-02     
 1.047128e+02      1.000000e-03      2.296173e-02     
 1.096478e+02      1.000000e-03      2.303133e-02     
 1.148153e+02      1.000000e-03      2.309536e-02     
 1.202264e+02      1.000000e-03      2.315421e-02     
 1.258925e+02      1.000000e-03      2.320828e-02     
 1.318256e+02      1.000000e-03      2.325791e-02     
 1.380384e+02      1.000000e-03      2.330345e-02     
 1.445439e+02      1.000000e-03      2.334520e-02     
 1.513561e+02      1.000000e-03      2.338347e-02     
 1.584893e+02      1.000000e-03      2.341853e-02     
 1.659586e+02      1.000000e-03      2.345063e-02     
 1.737800e+02      1.000000e-03      2.348002e-02     
 1.819700e+02      1.000000e-03      2.350690e-02     
 1.905460e+02      1.000000e-03      2.353148e-02     
 1.995262e+02      1.000000e-03      2.355396e-02     
 2.089296e+02      1.000000e-03      2.357449e-02     
 2.187761e+02      1.000000e-03      2.359325e-02     
 2.290867e+02      1.000000e-03      2.361038e-02     
 2.398832e+02      1.000000e-03      2.362602e-02     
 2.511886e+02      1.000000e-03      2.364028e-02     
 2.630267e+02      1.000000e-03      2.365329e-02     
 2.754228e+02      1.000000e-03      2.366515e-02     
 2.884031e+02      1.000000e-03      2.367594e-02     
 3.019951e+02      1.000000e-03      2.368577e-02     
 3.162277e+02      1.000000e-03      2.369471e-02     
 3.311311e+02      1.000000e-03      2.370283e-02     
 3.467368e+02      1.000000e-03      2.371020e-02     
 3.630780e+02      1.000000e-03      2.371688e-02     
 3.801893e+02      1.000000e-03      2.372293e-02     
 3.981071e+02      1.000000e-03      2.372839e-02     
 4.168693e+02      1.000000e-03      2.373332e-02     
 4.365158e+02      1.000000e-03      2.373774e-02     
 4.570881e+02      1.000000e-03      2.374170e-02     
 4.786300e+02      1.000000e-03      2.374524e-02     
 5.011872e+02      1.000000e-03      2.374837e-02     
 5.248074e+02      1.000000e-03      2.375113e-02     
 5.495408e+02      1.000000e-03      2.375354e-02     
 5.754399e+02      1.000000e-03      2.375562e-02     
 6.025595e+02      1.000000e-03      2.375739e-02     
 6.309573e+02      1.000000e-03      2.375886e-02     
 6.606934e+02      1.000000e-03      2.376005e-02     
 6.918309e+02      1.000000e-03      2.376095e-02     
 7.244359e+02      1.000000e-03      2.376160e-02     
 7.585775e+02      1.000000e-03      2.376197e-02     
 7.943282e+02      1.000000e-03      2.376209e-02     
 8.317637e+02      1.000000e-03      2.376195e-02     
 8.709635e+02      1.000000e-03      2.376155e-02     
 9.120108e+02      1.000000e-03      2.376089e-02     
 9.549925e+02      1.000000e-03      2.375996e-02     
 1.000000e+03      1.000000e-03      2.375875e-02     
 1.047128e+03      1.000000e-03      2.375726e-02     
 1.096478e+03      1.000000e-03      2.375547e-02     
 1.148153e+03      1.000000e-03      2.375336e-02     
 1.202264e+03      1.000000e-03      2.375092e-02     
 1.258925e+03      1.000000e-03      2.374813e-02     
 1.318256e+03      1.000000e-03      2.374496e-02     
 1.380384e+03      1.000000e-03      2.374140e-02     
 1.445439e+03      1.000000e-03      2.373740e-02     
 1.513561e+03      1.000000e-03      2.373293e-02     
 1.584893e+03      1.000000e-03      2.372797e-02     
 1.659586e+03      1.000000e-03      2.372246e-02     
 1.737800e+03      1.000000e-03      2.371636e-02     
 1.819700e+03      1.000000e-03      2.370963e-02     
 1.905460e+03      1.000000e-03      2.370220e-02     
 1.995262e+03      1.000000e-03      2.369401e-02     
 2.089296e+03      1.000000e-03      2.368500e-02     
 2.187761e+03      1.000000e-03      2.367510e-02     
 2.290867e+03      1.000000e-03      2.366422e-02     
 2.398832e+03      1.000000e-03      2.365228e-02     
 2.511886e+03      1.000000e-03      2.363917e-02     
 2.630267e+03      1.000000e-03      2.362480e-02     
 2.754228e+03      1.000000e-03      2.360905e-02     
 2.884031e+03      1.000000e-03      2.359179e-02     
 3.019951e+03      1.000000e-03      2.357289e-02     
 3.162277e+03      1.000000e-03      2.355220e-02     
 3.311311e+03      1.000000e-03      2.352957e-02     
 3.467368e+03      1.000000e-03      2.350480e-02     
 3.630780e+03      1.000000e-03      2.347773e-02     
 3.801893e+03      1.000000e-03      2.344814e-02     
 3.981071e+03      1.000000e-03      2.341580e-02     
 4.168693e+03      1.000000e-03      2.338050e-02     
 4.365158e+03      1.000000e-03      2.334196e-02     
 4.570881e+03      1.000000e-03      2.329991e-02     
 4.786300e+03      1.000000e-03      2.325406e-02     
 5.011872e+03      1.000000e-03      2.320409e-02     
 5.248074e+03      1.000000e-03      2.314965e-02     
 5.495408e+03      1.000000e-03      2.309040e-02     
 5.754399e+03      1.000000e-03      2.302595e-02     
 6.025595e+03      1.000000e-03      2.295589e-02     
 6.309573e+03      1.000000e-03      2.287980e-02     
 6.606934e+03      1.000000e-03      2.279723e-02     
 6.918309e+03      1.000000e-03      2.270770e-02     
 7.244359e+03      1.000000e-03      2.261074e-02     
 7.585775e+03      1.000000e-03      2.250583e-02     
 7.943282e+03      1.000000e-03      2.239247e-02     
 8.317637e+03      1.000000e-03      2.227011e-02     
 8.709635e+03      1.000000e-03      2.213822e-02     
 9.120108e+03      1.000000e-03      2.199627e-02     
 9.549925e+03      1.000000e-03      2.184371e-02     
 1.000000e+04      1.000000e-03      2.168003e-02     
 1.047128e+04      1.000000e-03      2.150472e-02     
 1.096478e+04      1.000000e-03      2.131730e-02     
 1.148153e+04      1.000000e-03      2.111732e-02     
 1.202264e+04      1.000000e-03      2.090439e-02     
 1.258925e+04      1.000000e-03      2.067816e-02     
 1.318256e+04      1.000000e-03      2.043835e-02     
 1.380384e+04      1.000000e-03      2.018477e-02     
 1.445439e+04      1.000000e-03      1.991728e-02     
